resource_type,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision,cloud_run_revision
project_id,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3,tsmccareerhack2024-icsd-grp3
location,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1,us-central1
configuration_name,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc
revision_name,sso-tsmc-00001-6lq,sso-tsmc-00001-96p,sso-tsmc-00001-kf2,sso-tsmc-00001-kf2,sso-tsmc-00001-llq,sso-tsmc-00001-llq,sso-tsmc-00001-mz6,sso-tsmc-00001-nm7,sso-tsmc-00001-q95,sso-tsmc-00001-qvv,sso-tsmc-00001-vkc,sso-tsmc-00002-8g4,sso-tsmc-00002-992,sso-tsmc-00002-jqm,sso-tsmc-00002-ngl,sso-tsmc-00002-tsq,sso-tsmc-00002-tsq,sso-tsmc-00003-f2s,sso-tsmc-00003-f2s,sso-tsmc-00003-f2s,sso-tsmc-00003-f2s,sso-tsmc-00004-qgm,sso-tsmc-00004-qgm,sso-tsmc-00004-qgm,sso-tsmc-00004-qgm,sso-tsmc-00004-qgm
service_name,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc,sso-tsmc
response_code,200,503,200,404,200,404,503,200,200,503,200,200,200,200,200,200,404,200,400,404,503,200,400,404,429,503
response_code_class,2xx,5xx,2xx,4xx,2xx,4xx,5xx,2xx,2xx,5xx,2xx,2xx,2xx,2xx,2xx,2xx,4xx,2xx,4xx,4xx,5xx,2xx,4xx,4xx,4xx,5xx
route,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:20:20.800,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:21:20.800,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:22:20.800,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:23:20.800,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:24:20.800,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:25:20.800,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-21 11:29:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 11:30:20.800,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2024-01-21 11:31:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 11:32:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 11:33:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 11:34:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 11:35:20.800,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
2024-01-21 14:42:20.800,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2024-01-21 14:43:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:44:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:45:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:46:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:47:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:48:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:49:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:50:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:51:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:52:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:53:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:54:20.800,,,,,,,,,,,0.0,,,,,,,,,,,,,,,
2024-01-21 14:55:20.800,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,
2024-01-21 14:56:20.800,,,,,,,,,,,0.0,,,,,1.0,,,,,,,,,,
2024-01-21 14:57:20.800,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,
